"title","artist","albumTitle","bpm","key","comment","year","location"
"Stylo (feat. Mos Def and Bobby Womack)","Gorillaz,Mos Def","Plastic Beach","100.211563","10M","00s elecrto super gold","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Stylo (feat. Mos Def and Bobby Womack).mp3"
"Fade To Grey","Visage","Visage","112.414154","1M","80s synth interlude super gold  ","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80s pop hits/Fade To Grey.mp3"
"No Frills (Club Version) (2012 - Remaster)","Taana Gardner","Larry Levan's Classic West End Records Remixes Made Famous at the Legendary Paradise Garage","108.339806","11D","","2020","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/03 No Frills (Club Version) (2012 - Remaster).mp3"
"Vitamin - 2009 Remaster","Kraftwerk","Tour de France (2009 Remaster)","91.000099","11M","Electronic; synth-pop; 1978 track featuring pioneering electronic sounds and robotic vocals.","2003","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/06 Vitamin - 2009 Remaster.mp3"
"Dream 2 Science","Dream 2 Science","Dream 2 Science","119.004913","5M","Jazz; hard bop; 1961 instrumental known for its lyrical interplay between piano and reeds.","2012","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/06 Dream 2 Science.mp3"
"Turn My Back On You","Sade","Stronger Than Pride","99.358948","10M","90s soul groove gold","1988","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New sound 3/Turn My Back On You.mp3"
"Your Life","Konk","The Definitive Collection","118.911758","11D","Japan cross afro quirk - funky fun gold","2008","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Japan cross afro quirk/Your Life.mp3"
"Adventures In Success","Will Powers","Dancing For Mental Health","94.616951","2M","80s electro vocal gold","1983","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Adventures In Success.mp3"
"Special Agent Man - Female Version","Gaznevada","Special Agent Man","99.980026","4M","","1983","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Special Agent Man - Female Version.mp3"
"Say It Isn't So - Dub Version","Daryl Hall & John Oates,John 'Jellybean' Benitez","Extended Mixes","113.654381","1M","Rock; classic rock; 1976 anthem known for its optimistic tone and singalong chorus.","2018","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - UB40 are cool/08 Say It Isn't So - Dub Version.mp3"
"Just a Touch of Love - MAW Remix","Slave","Just a Touch of Love (Remixes)","110.780441","1M","","2019","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Just a Touch of Love - MAW Remix.mp3"
"Don't You Know","Jan Hammer Group","Melodies","93.852287","2M","Chris Lockdown Smooth - electro cross super gold","1977","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Chris Lockdown Smooth/Don't You Know.mp3"
"Polvo","Mr Twin Sister","Al Mundo Azul","120.000397","8M","Electro Dub Grind - up cross latin cross gold","2021","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Electro Dub Grind/Polvo.mp3"
"Unforgettable Runway","Super Drama","Unforgettable Runway","120","7M","Ballroom house; vogue beats; dramatic synths; flamboyant and empowering; queer club culture.","2019","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Unforgettable Runway.mp3"
"Deadly Valentine (Soulwax Remix)","Charlotte Gainsbourg,Soulwax","Deadly Valentine (Soulwax Remix)","104.9841","4M","00s dreamy beat vocal gold","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Deadly Valentine (Soulwax Remix).mp3"
"Don't Let It Go","Bad Barbie, The Evil Smarty","Midnight Riot, Vol. 9","95.000031","4M","brazil cross reggae super gold","2015","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 9 - Claude Mixed bag/Don't Let It Go.mp3"
"I'm Not Done - Still Not Done Mix","Fever Ray","Plunge Remix","117","12M","Darkwave/synth-pop; haunting synths; echoing vocals; slow-building atmospheric intensity.","2019","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/I'm Not Done - Still Not Done Mix.mp3"
"Kingsize - Kelly Lee Owens Rework","Kelly Lee Owens","Oleic","125","1M","Ambient techno; minimalist textures; dream pop influences; introspective and immersive remix style.","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - ID track DJ mix/Kingsize - Kelly Lee Owens Rework.mp3"
"Melt!","Kelly Lee Owens","Inner Song","131.000076","5M","Techno; atmospheric; environmental themes; hypnotic and immersive.","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Deep Base/Melt!.mp3"
"Crocodile Boots - Soulwax Remix","Mixhell,Joe Goddard,Mutado Pintado,Soulwax","Crocodile Boots (Soulwax Remix)","103.000038","12M","00s deep groove gold","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Crocodile Boots - Soulwax Remix.mp3"
"Kids In America","Kim Wilde","Kim Wilde","159.636383","2M","80s classic electro intro super gold","1981","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Lexi 80's dance/Kids In America.mp3"
"Waiting For A Surprise - Original Mix","Red Axes,Abrão","Waiting For A Surprise","114.000191","9M","","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sam & Robins (Hip Hop base)/Waiting For A Surprise - Original Mix.mp3"
"She Blinded Me With Science - Extended Version","Thomas Dolby","12x12 Original Remixes","129.082077","2M","","1999","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New sound 3/She Blinded Me With Science - Extended Version.mp3"
"Girlfriend Is Better - 2005 Remaster","Talking Heads","Speaking in Tongues (Deluxe Version)","118.603867","12M","","1983","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/03 Girlfriend Is Better - 2005 Remaster.mp3"
"This Must Be the Place (Naive Melody) - 2005 Remaster","Talking Heads","Speaking in Tongues (Deluxe Version)","114.390152","2D","","1983","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - UB40 are cool/09 This Must Be the Place (Naive Melody) - 2005 Remaster.mp3"
"Jungelknugen - Prins Thomas Remix","Todd Terje,Prins Thomas","Jungelknugen (Remixes)","121.999977","11M","","2017","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/02 Jungelknugen - Prins Thomas Remix.mp3"
"Push the Rock","Magic In Threes,Amber Woodhouse","Push the Rock","116.996895","1M","","2023","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Push the Rock.mp3"
"Get It Up For Love","Ned Doheny","Hard Candy","79.164543","2M","80s groove crooner gold","1976","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Get It Up For Love.mp3"
"Stoked","Bonus Points","Whispers of Summer","89.999969","4M","","2023","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Breath/10 Stoked.mp3"
"Rapture - Special Disco Mix - Remastered 2001","Blondie","Autoamerican (Remastered 2001)","108.160515","2M","","1980","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/15 Rapture - Special Disco Mix - Remastered 2001.mp3"
"Bette Davis Eyes","Kim Carnes","Mistaken Identity","116.951241","12D","","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Manyana Mix/Bette Davis Eyes.mp3"
"Hard Working Hand","Luke Temple","Good Mood Fool","80.460823","11M","","2013","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Hard Working Hand.mp3"
"I.G.Y.","Donald Fagen","The Nightfly","119.429077","6M","Electro Dub Grind - 80 croons super gold","1982","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Electro Dub Grind/I.G.Y..mp3"
"Okay - Original Mix","Shiba San","dirtybird BBQ","123","12M","Tech-house; groovy and minimalist; crisp percussion; catchy vocal hook; club staple.","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Okay - Original Mix.mp3"
"Discótico Pléxico - Maceo Plex Remix","Rebolledo,Maceo Plex","Mondo Re-Alterado","123","3D","Deep house remix; dark and cinematic; brooding bassline; atmospheric club energy.","2017","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - AfroLatin Drum Machine/Discótico Pléxico - Maceo Plex Remix.mp3"
"Club Level","79.5","79.5","116.009743","1M","Electronic; instrumental; early synthesizers; experimental and futuristic.","2023","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Breath/01 Club Level.mp3"
"Move Your Ass And Feel The Beat","Erotic Dissidents","The Sound Of Belgium","109","3M","Drum and bass; bilingual rap; energetic; UK-Africa fusion.","2013","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Art Party Early Electro/Move Your Ass And Feel The Beat(1).mp3"
"On The Run - Edit","Tony Allen & Jeff Mills","Tomorrow Comes The Harvest","209.346115","12M","Ambient house; lush synths; downtempo; serene and contemplative.","2018","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Breath/03 On The Run - Edit.mp3"
"Mothapomp - Original Mix","Pemax,Classmatic","Hippie N' House","123.000259","7M","","2019","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/new import to do/02 Mothapomp - Original Mix.mp3"
"Freestyle","Beau","Freestyle EP","126.999809","12M","Melodic techno; atmospheric synths; driving rhythm; introspective and immersive.","2020","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Freestyle.mp3"
"Answers Come In Dreams","Hercules & Love Affair,Aerea Negrot","Blue Songs","115.987648","10M","E","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 pop synth cruzin/Answers Come In Dreams.mp3"
"I Didn't Mean To Turn You On","Robert Palmer","Riptide","120.418915","9M","","1985","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - UB40 are cool/06 I Didn't Mean To Turn You On.mp3"
"Love Is The Drug","Roxy Music","Siren","124.688934","1M","","1975","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New sound 4/Love Is The Drug.mp3"
"New York Is Killing Me","Gil Scott-Heron","I’m New Here","102.984497","11M","70s hip hop gold","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Manyana Mix/New York Is Killing Me.mp3"
"Candomble - Dreems Remix","Thomash","Candomble","110.000084","7M","tribal deep beats super gold","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Candomble - Dreems Remix.mp3"
"Bani","Susso","Keira","96.49955","1M","","0","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Claudias Sub 100bpm/Bani.mp3"
"Break 4 Love","Raze","Break 4 Love","0","","","2007","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Break 4 Love.mp3"
"Chant No. 1 (I Don't Need This Pressure On) - 2010 Remaster","Spandau Ballet","Diamond (Special Edition)","0","","","1982","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Chant No 1 (I Don't Need This Pressure On) - 2010 Remaster.mp3"
"Don Quichotte - No Estan Aqui, 2024 Remastered","Magazine 60","Don Quichotte","0","","","1984","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Bin Ally 3/01 Don Quichotte - No Estan Aqui, 2024 Remastered.mp3"
